"","parameter_set","variable_set","imputation","method","parameter","value"
"1","parameterset_00000001","all","mean","kmeans","n_clusters","2"
"2","parameterset_00000002","all","mean","kmeans","n_clusters","3"
"3","parameterset_00000003","all","mean","hclust","cutpoint","3"
"4","parameterset_00000004","all","mean","hclust","kcut","3"
"5","parameterset_00000005","all","mean","hclust","cut_quantile",".5"
"6","parameterset_00000008","all","mean","dbscan","eps","0.5"
"7","parameterset_00000008","all","mean","dbscan","minPts","2"
"8","parameterset_00000009","all","mean","dbscan","eps","0.5"
"9","parameterset_00000009","all","mean","dbscan","minPts","3"
"10","parameterset_00000010","all","mean","dbscan","eps","0.75"
"11","parameterset_00000010","all","mean","dbscan","minPts","2"
"12","parameterset_00000011","all","mean","dbscan","eps","0.75"
"13","parameterset_00000011","all","mean","dbscan","minPts","3"
"14","parameterset_00000012","all","median","kmeans","n_clusters","2"
"15","parameterset_00000013","all","median","kmeans","n_clusters","3"
"16","parameterset_00000014","all","median","hclust","cutpoint","3"
"17","parameterset_00000015","all","median","hclust","kcut","3"
"18","parameterset_00000016","all","median","hclust","cut_quantile",".5"
"19","parameterset_00000019","all","median","dbscan","eps","0.5"
"20","parameterset_00000019","all","median","dbscan","minPts","2"
"21","parameterset_00000020","all","median","dbscan","eps","0.5"
"22","parameterset_00000020","all","median","dbscan","minPts","3"
"23","parameterset_00000021","all","median","dbscan","eps","0.75"
"24","parameterset_00000021","all","median","dbscan","minPts","2"
"25","parameterset_00000022","all","median","dbscan","eps","0.75"
"26","parameterset_00000022","all","median","dbscan","minPts","3"
"27","parameterset_00000023","all","knn-k5","kmeans","n_clusters","2"
"28","parameterset_00000024","all","knn-k5","kmeans","n_clusters","3"
"29","parameterset_00000025","all","knn-k5","hclust","cutpoint","3"
"30","parameterset_00000026","all","knn-k5","hclust","kcut","3"
"31","parameterset_00000027","all","knn-k5","hclust","cut_quantile",".5"
"32","parameterset_00000030","all","knn-k5","dbscan","eps","0.5"
"33","parameterset_00000030","all","knn-k5","dbscan","minPts","2"
"34","parameterset_00000031","all","knn-k5","dbscan","eps","0.5"
"35","parameterset_00000031","all","knn-k5","dbscan","minPts","3"
"36","parameterset_00000032","all","knn-k5","dbscan","eps","0.75"
"37","parameterset_00000032","all","knn-k5","dbscan","minPts","2"
"38","parameterset_00000033","all","knn-k5","dbscan","eps","0.75"
"39","parameterset_00000033","all","knn-k5","dbscan","minPts","3"
"40","parameterset_00000034","all","knn-k10","kmeans","n_clusters","2"
"41","parameterset_00000035","all","knn-k10","kmeans","n_clusters","3"
"42","parameterset_00000036","all","knn-k10","hclust","cutpoint","3"
"43","parameterset_00000037","all","knn-k10","hclust","kcut","3"
"44","parameterset_00000038","all","knn-k10","hclust","cut_quantile",".5"
"45","parameterset_00000041","all","knn-k10","dbscan","eps","0.5"
"46","parameterset_00000041","all","knn-k10","dbscan","minPts","2"
"47","parameterset_00000042","all","knn-k10","dbscan","eps","0.5"
"48","parameterset_00000042","all","knn-k10","dbscan","minPts","3"
"49","parameterset_00000043","all","knn-k10","dbscan","eps","0.75"
"50","parameterset_00000043","all","knn-k10","dbscan","minPts","2"
"51","parameterset_00000044","all","knn-k10","dbscan","eps","0.75"
"52","parameterset_00000044","all","knn-k10","dbscan","minPts","3"
"53","parameterset_00000045","all","knn-k20","kmeans","n_clusters","2"
"54","parameterset_00000046","all","knn-k20","kmeans","n_clusters","3"
"55","parameterset_00000047","all","knn-k20","hclust","cutpoint","3"
"56","parameterset_00000048","all","knn-k20","hclust","kcut","3"
"57","parameterset_00000049","all","knn-k20","hclust","cut_quantile",".5"
"58","parameterset_00000052","all","knn-k20","dbscan","eps","0.5"
"59","parameterset_00000052","all","knn-k20","dbscan","minPts","2"
"60","parameterset_00000053","all","knn-k20","dbscan","eps","0.5"
"61","parameterset_00000053","all","knn-k20","dbscan","minPts","3"
"62","parameterset_00000054","all","knn-k20","dbscan","eps","0.75"
"63","parameterset_00000054","all","knn-k20","dbscan","minPts","2"
"64","parameterset_00000055","all","knn-k20","dbscan","eps","0.75"
"65","parameterset_00000055","all","knn-k20","dbscan","minPts","3"
"66","parameterset_00000056","all","mice","kmeans","n_clusters","2"
"67","parameterset_00000057","all","mice","kmeans","n_clusters","3"
"68","parameterset_00000058","all","mice","hclust","cutpoint","3"
"69","parameterset_00000059","all","mice","hclust","kcut","3"
"70","parameterset_00000060","all","mice","hclust","cut_quantile",".5"
"71","parameterset_00000063","all","mice","dbscan","eps","0.5"
"72","parameterset_00000063","all","mice","dbscan","minPts","2"
"73","parameterset_00000064","all","mice","dbscan","eps","0.5"
"74","parameterset_00000064","all","mice","dbscan","minPts","3"
"75","parameterset_00000065","all","mice","dbscan","eps","0.75"
"76","parameterset_00000065","all","mice","dbscan","minPts","2"
"77","parameterset_00000066","all","mice","dbscan","eps","0.75"
"78","parameterset_00000066","all","mice","dbscan","minPts","3"
"79","parameterset_00000067","varset1","mean","kmeans","n_clusters","2"
"80","parameterset_00000068","varset1","mean","kmeans","n_clusters","3"
"81","parameterset_00000069","varset1","mean","hclust","cutpoint","3"
"82","parameterset_00000070","varset1","mean","hclust","kcut","3"
"83","parameterset_00000071","varset1","mean","hclust","cut_quantile",".5"
"84","parameterset_00000074","varset1","mean","dbscan","eps","0.5"
"85","parameterset_00000074","varset1","mean","dbscan","minPts","2"
"86","parameterset_00000075","varset1","mean","dbscan","eps","0.5"
"87","parameterset_00000075","varset1","mean","dbscan","minPts","3"
"88","parameterset_00000076","varset1","mean","dbscan","eps","0.75"
"89","parameterset_00000076","varset1","mean","dbscan","minPts","2"
"90","parameterset_00000077","varset1","mean","dbscan","eps","0.75"
"91","parameterset_00000077","varset1","mean","dbscan","minPts","3"
"92","parameterset_00000078","varset1","median","kmeans","n_clusters","2"
"93","parameterset_00000079","varset1","median","kmeans","n_clusters","3"
"94","parameterset_00000080","varset1","median","hclust","cutpoint","3"
"95","parameterset_00000081","varset1","median","hclust","kcut","3"
"96","parameterset_00000082","varset1","median","hclust","cut_quantile",".5"
"97","parameterset_00000085","varset1","median","dbscan","eps","0.5"
"98","parameterset_00000085","varset1","median","dbscan","minPts","2"
"99","parameterset_00000086","varset1","median","dbscan","eps","0.5"
"100","parameterset_00000086","varset1","median","dbscan","minPts","3"
"101","parameterset_00000087","varset1","median","dbscan","eps","0.75"
"102","parameterset_00000087","varset1","median","dbscan","minPts","2"
"103","parameterset_00000088","varset1","median","dbscan","eps","0.75"
"104","parameterset_00000088","varset1","median","dbscan","minPts","3"
"105","parameterset_00000089","varset1","knn-k5","kmeans","n_clusters","2"
"106","parameterset_00000090","varset1","knn-k5","kmeans","n_clusters","3"
"107","parameterset_00000091","varset1","knn-k5","hclust","cutpoint","3"
"108","parameterset_00000092","varset1","knn-k5","hclust","kcut","3"
"109","parameterset_00000093","varset1","knn-k5","hclust","cut_quantile",".5"
"110","parameterset_00000096","varset1","knn-k5","dbscan","eps","0.5"
"111","parameterset_00000096","varset1","knn-k5","dbscan","minPts","2"
"112","parameterset_00000097","varset1","knn-k5","dbscan","eps","0.5"
"113","parameterset_00000097","varset1","knn-k5","dbscan","minPts","3"
"114","parameterset_00000098","varset1","knn-k5","dbscan","eps","0.75"
"115","parameterset_00000098","varset1","knn-k5","dbscan","minPts","2"
"116","parameterset_00000099","varset1","knn-k5","dbscan","eps","0.75"
"117","parameterset_00000099","varset1","knn-k5","dbscan","minPts","3"
"118","parameterset_00000100","varset1","knn-k10","kmeans","n_clusters","2"
"119","parameterset_00000101","varset1","knn-k10","kmeans","n_clusters","3"
"120","parameterset_00000102","varset1","knn-k10","hclust","cutpoint","3"
"121","parameterset_00000103","varset1","knn-k10","hclust","kcut","3"
"122","parameterset_00000104","varset1","knn-k10","hclust","cut_quantile",".5"
"123","parameterset_00000107","varset1","knn-k10","dbscan","eps","0.5"
"124","parameterset_00000107","varset1","knn-k10","dbscan","minPts","2"
"125","parameterset_00000108","varset1","knn-k10","dbscan","eps","0.5"
"126","parameterset_00000108","varset1","knn-k10","dbscan","minPts","3"
"127","parameterset_00000109","varset1","knn-k10","dbscan","eps","0.75"
"128","parameterset_00000109","varset1","knn-k10","dbscan","minPts","2"
"129","parameterset_00000110","varset1","knn-k10","dbscan","eps","0.75"
"130","parameterset_00000110","varset1","knn-k10","dbscan","minPts","3"
"131","parameterset_00000111","varset1","knn-k20","kmeans","n_clusters","2"
"132","parameterset_00000112","varset1","knn-k20","kmeans","n_clusters","3"
"133","parameterset_00000113","varset1","knn-k20","hclust","cutpoint","3"
"134","parameterset_00000114","varset1","knn-k20","hclust","kcut","3"
"135","parameterset_00000115","varset1","knn-k20","hclust","cut_quantile",".5"
"136","parameterset_00000118","varset1","knn-k20","dbscan","eps","0.5"
"137","parameterset_00000118","varset1","knn-k20","dbscan","minPts","2"
"138","parameterset_00000119","varset1","knn-k20","dbscan","eps","0.5"
"139","parameterset_00000119","varset1","knn-k20","dbscan","minPts","3"
"140","parameterset_00000120","varset1","knn-k20","dbscan","eps","0.75"
"141","parameterset_00000120","varset1","knn-k20","dbscan","minPts","2"
"142","parameterset_00000121","varset1","knn-k20","dbscan","eps","0.75"
"143","parameterset_00000121","varset1","knn-k20","dbscan","minPts","3"
"144","parameterset_00000122","varset1","mice","kmeans","n_clusters","2"
"145","parameterset_00000123","varset1","mice","kmeans","n_clusters","3"
"146","parameterset_00000124","varset1","mice","hclust","cutpoint","3"
"147","parameterset_00000125","varset1","mice","hclust","kcut","3"
"148","parameterset_00000126","varset1","mice","hclust","cut_quantile",".5"
"149","parameterset_00000129","varset1","mice","dbscan","eps","0.5"
"150","parameterset_00000129","varset1","mice","dbscan","minPts","2"
"151","parameterset_00000130","varset1","mice","dbscan","eps","0.5"
"152","parameterset_00000130","varset1","mice","dbscan","minPts","3"
"153","parameterset_00000131","varset1","mice","dbscan","eps","0.75"
"154","parameterset_00000131","varset1","mice","dbscan","minPts","2"
"155","parameterset_00000132","varset1","mice","dbscan","eps","0.75"
"156","parameterset_00000132","varset1","mice","dbscan","minPts","3"
